x1,x2,rg_mean,rg_std
17,72,3.643576148,0.15498528
17,74,4.04665305,0.094468312
17,76,3.749079284,0.115041735
17,78,4.027266452,0.138238607
17,80,4.125181433,0.148624815
17,82,4.259532275,0.172000464
17,84,3.750903589,0.111470275
17,86,4.150484243,0.113018532
17,88,4.06277927,0.139766349
17,90,4.311518217,0.134067505
17,92,4.15680614,0.134899213
17,94,3.917819601,0.127081612
17,96,4.035100143,0.149144634
17,98,4.182265571,0.134733243
17,100,3.834937364,0.121310079
19,0,3.002541438,0.1114075
19,2,3.153367681,0.098190889
19,4,3.035895982,0.100950144
19,6,3.158312048,0.105257456
19,8,3.028250544,0.113368592
19,10,3.466939689,0.099431835
19,12,3.196953274,0.109423343
19,14,3.368374825,0.165254517
19,16,2.975601371,0.093155135
19,18,3.317639947,0.098945854
19,20,3.313598929,0.090363464
19,22,3.176905835,0.086891575
19,24,3.222705062,0.1221714
19,26,2.97232172,0.059316986
19,28,3.240960345,0.106095719
19,30,3.352973489,0.101472924
19,32,3.292935002,0.119806641
19,34,3.064456317,0.084053548
19,36,3.342611696,0.076985175
19,38,3.351401258,0.111072688
19,40,3.650510853,0.102235419
19,42,3.440052398,0.088231932
19,44,3.553124713,0.108113289
19,46,3.428870515,0.097947313
19,48,3.453990048,0.113088849
19,50,3.4980739,0.132769421
19,52,3.64568156,0.093361888
19,54,3.436001839,0.116747724
19,56,3.744841354,0.111539146
19,58,3.685440852,0.145923218
19,60,3.696914635,0.126546557
19,62,3.656576433,0.137133149
19,64,3.697235222,0.090415675
19,66,4.030216787,0.136289077
19,68,3.880376251,0.129412813
19,70,4.086374325,0.137293884
19,72,3.802100724,0.149768551
19,74,3.514386271,0.092638453
19,76,3.978771402,0.136224276
19,78,3.454047827,0.090925608
19,80,3.71193626,0.10158616
19,82,3.341483828,0.087197364
19,84,3.85136104,0.106486485
19,86,3.917422106,0.183226294
19,88,3.744362127,0.102099709
19,90,3.96856433,0.107565897
19,92,3.503385153,0.109254615
19,94,4.110417718,0.120411872
19,96,4.162905703,0.145144992
19,98,3.769136285,0.12662472
19,100,3.972154262,0.111545934
21,0,3.140790635,0.105892615
21,2,2.925420293,0.145833425
21,4,3.328809269,0.120585874
21,6,2.857767855,0.09155989
21,8,2.918431824,0.081239714
21,10,3.264710648,0.098340685
21,12,2.935081419,0.112353779
21,14,3.120264162,0.088325182
21,16,3.144643588,0.105676874
21,18,3.241630255,0.11429407
21,20,3.303686069,0.091740501
21,22,3.117656961,0.115182038
21,24,3.058072344,0.090541915
21,26,3.058313526,0.087340062
21,28,2.956710226,0.101492312
21,30,3.281795365,0.095628468
21,32,3.131670333,0.086812645
21,34,3.334672144,0.10923647
21,36,3.429483958,0.11886822
21,38,3.367722729,0.101767402
21,40,3.592237414,0.074762221
21,42,3.694502017,0.110433065
21,44,3.289220943,0.113414219
21,46,3.501186688,0.110619535
21,48,3.396825993,0.106091642
21,50,3.588871038,0.094616965
21,52,3.356033338,0.094614516
21,54,3.373996141,0.089798256
21,56,3.649608044,0.11338376
21,58,3.389115575,0.069562393
21,60,3.701136739,0.118567978
21,62,3.561286875,0.101362759
21,64,3.943346335,0.097909194
21,66,3.559471615,0.120073808
21,68,3.131574332,0.086369567
21,70,3.625845817,0.131703869
21,72,3.296525963,0.103233125
21,74,3.72669206,0.132810151
21,76,3.952738025,0.101427713
21,78,3.601770847,0.133019236
21,80,3.296419173,0.088133766
21,82,3.340862118,0.114618275
21,84,3.668248444,0.091297348
21,86,3.350575129,0.099408766
21,88,3.397792336,0.12539532
21,90,3.735303408,0.122416267
21,92,3.703256822,0.117289489
21,94,4.254086556,0.117114802
21,96,3.579142488,0.113761744
21,98,3.58471333,0.088738195
21,100,3.661997026,0.108416058
23,0,3.053946375,0.094151311
23,2,3.02501462,0.110133119
23,4,2.705759893,0.092328404
23,6,3.322784586,0.113259383
23,8,3.084321931,0.090594931
23,10,3.277225272,0.112673303
23,12,2.945837752,0.083655826
23,14,3.236169126,0.099683218
23,16,3.05522845,0.095431577
23,18,3.063231458,0.089282689
23,20,3.245517255,0.105928598
23,22,3.350456941,0.150962021
23,24,3.007127161,0.087720033
23,26,3.482710573,0.09426481
23,28,3.108654282,0.106601124
23,30,3.349024529,0.111223684
23,32,3.400489524,0.109464711
23,34,3.066440999,0.085065623
23,36,3.247730276,0.093390031
23,38,3.304958945,0.100410727
23,40,3.154478046,0.060112936
23,42,3.37956273,0.106456667
23,44,3.288077309,0.087038622
23,46,3.366823847,0.100360114
23,48,3.400520134,0.109332069
23,50,3.338196847,0.118881132
23,52,3.480503366,0.108194987
23,54,3.409271828,0.100526162
23,56,3.556991517,0.120587937
23,58,3.564727344,0.114209
23,60,3.608274024,0.109761853
23,62,3.483346052,0.110161853
23,64,3.319478298,0.099027698
23,66,3.414109743,0.10587362
23,68,2.977584117,0.089975724
23,70,3.349354864,0.087525964
23,72,3.797147729,0.126849967
23,74,3.507189382,0.112124694
23,76,3.432712719,0.101095391
23,78,3.566650621,0.134331528
23,80,3.323090085,0.103817327
23,82,3.197986606,0.089172236
23,84,3.231821076,0.102470059
23,86,3.35918469,0.115299183
23,88,3.118991287,0.100090044
23,90,3.634263235,0.113916694
23,92,3.670579891,0.113098652
23,94,3.236009465,0.086061035
23,96,3.373623519,0.107209449
23,98,3.471887599,0.085224534
23,100,3.241638172,0.080133643
25,0,2.962529634,0.103088707
25,2,2.82273783,0.092396411
25,4,3.072186685,0.113111948
25,6,2.94934683,0.114788506
25,8,3.153830026,0.09996437
25,10,3.400483247,0.103163976
25,12,3.224378283,0.099857712
25,14,3.138147769,0.113825387
25,16,3.313716082,0.087946459
25,18,3.0324994,0.097187933
25,20,3.041358406,0.110889409
25,22,3.089468913,0.096074443
25,24,3.14597246,0.115551583
25,26,3.25162594,0.146747214
25,28,3.210628883,0.095181115
