x1,x2,rg_mean,rg_std
29,47,2.28469827,0.069748902
29,48,2.241618626,0.072166968
29,49,2.108356403,0.058346737
29,50,2.072933577,0.068432705
31,0,2.840907383,0.068617806
31,1,3.094354942,0.08587684
31,2,3.146194615,0.066664545
31,3,2.896240327,0.070537243
31,4,2.713575064,0.076293242
31,5,3.300196789,0.077491964
31,6,3.034928594,0.090225091
31,7,3.218069767,0.089523687
31,8,2.710377661,0.064336813
31,9,2.704009072,0.070588834
31,10,3.101974077,0.090931211
31,11,3.309707011,0.096984126
31,12,3.074032085,0.086815162
31,13,3.122285067,0.085515154
31,14,2.964273149,0.087889684
31,15,3.203306318,0.094545238
31,16,3.077406057,0.085318519
31,17,2.936033759,0.090547751
31,18,3.264092988,0.099401067
31,19,3.002869251,0.073109056
31,20,3.182476423,0.077082865
31,21,2.802302295,0.07450204
31,22,3.069778974,0.074547196
31,23,2.831239283,0.062913023
31,24,3.228807402,0.09559836
31,25,2.838145258,0.078174406
31,26,3.323866196,0.082737113
31,27,3.138013234,0.083263566
31,28,2.773541198,0.079305368
31,29,2.497719413,0.062091179
31,30,3.368864984,0.068700183
31,31,2.454243388,0.071415505
31,32,2.700740558,0.108284771
31,33,2.455956993,0.097613974
31,34,2.964397597,0.130100922
31,35,2.958407475,0.090840998
31,36,2.394733724,0.082210119
31,37,2.462569155,0.080927723
31,38,2.424317992,0.094676025
31,39,2.255244091,0.078150563
31,40,2.412317014,0.112879666
31,41,1.982625536,0.062523367
31,42,1.937255158,0.033772261
31,43,2.230836724,0.096534884
31,44,2.23177194,0.089801971
31,45,2.009283921,0.061803646
31,46,1.933823665,0.058358618
31,47,1.822509291,0.029681056
31,48,1.850259284,0.035527766
31,49,1.890194344,0.056577849
31,50,1.870099028,0.054478553
33,0,2.906248768,0.072200202
33,1,3.120269185,0.093186303
33,2,3.077185692,0.078004714
33,3,3.046968765,0.061504707
33,4,3.206820509,0.095531916
33,5,3.216714444,0.09503524
33,6,2.836988199,0.074160448
33,7,3.128794977,0.099281827
33,8,3.199971523,0.090694311
33,9,3.395605947,0.096938477
33,10,2.889300775,0.094837291
33,11,3.251113759,0.091297245
33,12,3.392499139,0.088476388
33,13,2.949899715,0.097634435
33,14,3.194303127,0.071784898
33,15,2.888552916,0.093427372
33,16,3.031677954,0.086305023
33,17,2.993441415,0.078237676
33,18,2.948143765,0.088453015
33,19,3.276787956,0.085072108
33,20,3.1914282,0.106407183
33,21,3.016884307,0.09655275
33,22,2.839646985,0.097553812
33,23,3.123353328,0.072850505
33,24,2.203803699,0.042680437
33,25,2.730628443,0.092376262
33,26,2.475863467,0.079691574
33,27,2.376945481,0.071261313
33,28,2.239534058,0.078269186
33,29,2.115756806,0.050155193
33,30,2.588923045,0.095045692
33,31,2.758332915,0.090517745
33,32,1.98458206,0.025601038
33,33,2.093140683,0.063095745
33,34,2.30609807,0.086829786
33,35,1.89112547,0.023937756
33,36,1.920401072,0.024411312
33,37,1.97419895,0.046379416
33,38,1.872344283,0.030758867
33,39,1.846670483,0.034107911
33,40,1.865152535,0.04872803
33,41,1.766039857,0.02051065
33,42,1.799230515,0.025334434
33,43,1.810427406,0.022473208
33,44,1.825042598,0.04467875
33,45,1.707078536,0.022007863
33,46,1.693831259,0.019519559
33,47,1.680172564,0.016721663
33,48,1.693366971,0.025064157
33,49,1.688173543,0.029866436
33,50,1.683534508,0.026443642
35,0,2.875075576,0.062161244
35,1,3.399345808,0.100806014
35,2,3.016327553,0.078087405
35,3,3.19067831,0.092810074
35,4,2.836960264,0.098139365
35,5,2.876600865,0.072465271
35,6,2.863400098,0.086969131
35,7,2.917970464,0.076796064
35,8,3.152784987,0.084601198
35,9,2.873841987,0.083084736
35,10,2.790184206,0.065454988
35,11,3.021995506,0.078994098
35,12,3.228264023,0.098750425
35,13,3.308847751,0.08076801
35,14,2.554416973,0.08321724
35,15,3.076220501,0.092451405
35,16,3.103503221,0.079132756
35,17,2.897945515,0.080419751
35,18,2.529292046,0.066961442
35,19,3.248790808,0.087053346
35,20,2.880169317,0.089917395
35,21,3.223993483,0.079879742
35,22,2.739114022,0.082364308
35,23,2.535631516,0.084348105
35,24,2.102754614,0.040626145
35,25,2.86732361,0.084821678
35,26,2.088147346,0.025964318
35,27,2.171768343,0.052025695
35,28,2.732210688,0.099555318
35,29,2.145814408,0.054782218
35,30,1.9661224,0.028256348
35,31,1.965359633,0.024201168
35,32,1.948413172,0.024535154
35,33,1.893324732,0.025822969
35,34,1.873089499,0.022272673
35,35,1.856422214,0.019613709
35,36,1.826622777,0.020400325
35,37,1.773968944,0.019565758
35,38,1.769235179,0.021964885
35,39,1.75042138,0.020259398
35,40,1.736561357,0.019183629
35,41,1.781123299,0.020750904
35,42,1.706674553,0.015904011
35,43,1.691200387,0.017906443
35,44,1.652342024,0.014040198
35,45,1.665975562,0.013986483
35,46,1.660119372,0.021061624
35,47,1.652198481,0.018574006
35,48,1.620355841,0.014949974
35,49,1.589889708,0.011981598
35,50,1.586396511,0.016886879
37,0,3.192152863,0.089982587
37,1,3.058480446,0.101862043
37,2,3.388722843,0.091106412
37,3,2.90520575,0.082402021
37,4,3.187889832,0.087517095
37,5,2.981460413,0.078338054
37,6,3.068368835,0.091373247
37,7,3.210788646,0.080900005
37,8,3.155815879,0.089725751
37,9,2.907803042,0.086466215
37,10,3.092767207,0.094557924
37,11,2.975638646,0.086055673
37,12,2.898933096,0.089487422
37,13,3.403457187,0.081380625
37,14,3.166764295,0.123679947
37,15,2.7609187,0.106915955
37,16,2.676585169,0.087459601
37,17,3.021114576,0.077465504
37,18,2.131311759,0.027692833
37,19,3.034005132,0.089638556
37,20,3.020388165,0.096002943
37,21,2.962920555,0.101216202
37,22,3.201818263,0.07451468
37,23,2.227182614,0.062465001
37,24,1.998385192,0.023194221
37,25,2.044040086,0.02348663
37,26,1.960648138,0.026624486
37,27,2.233836032,0.081221122
37,28,1.896435265,0.022734961
37,29,1.900063927,0.024477874
37,30,1.916139375,0.020027541
37,31,1.90256715,0.021003353
37,32,1.864565134,0.023010778
37,33,1.830454917,0.018342655
37,34,1.823711162,0.024514667
37,35,1.796024978,0.02303375
37,36,1.77417148,0.01640411
37,37,1.790227872,0.019993149
37,38,1.763176614,0.022702838
37,39,1.704246444,0.015301051
37,40,1.721157613,0.014459605
37,41,1.687443516,0.018064907
37,42,1.669987059,0.017648197
37,43,1.644393743,0.012112316
37,44,1.609043105,0.012536645
37,45,1.605072696,0.012684952
37,46,1.596527644,0.013022534
37,47,1.585754687,0.011188913
37,48,1.577542575,0.013574497
37,49,1.56384094,0.010179983
37,50,1.558649188,0.014461996
39,0,2.764000247,0.059273781
39,1,2.966273314,0.073274731
39,2,2.989981437,0.096896529
39,3,3.105176026,0.111527687
39,4,3.248205577,0.09123144
39,5,2.908625397,0.086558488
39,6,2.973100243,0.087930146
39,7,2.94723515,0.084888265
39,8,2.882562637,0.08883955
39,9,3.26245237,0.083108302
39,10,2.8985928,0.093127413
39,11,2.818911135,0.075524925
39,12,2.560520763,0.086407287
39,13,2.40725986,0.070450904
39,14,3.098946223,0.102431337
39,15,2.839383739,0.06151496
39,16,2.065038029,0.02620336
39,17,2.391399323,0.073678203
39,18,2.671172686,0.071626402
39,19,2.328157557,0.068712304
39,20,2.757137221,0.095431715
39,21,2.225062634,0.062637524
39,22,2.204507023,0.047893407
39,23,2.287031538,0.082876609
39,24,2.015369223,0.03509408
39,25,1.969408943,0.021564925
39,26,2.12438707,0.06642674
39,27,1.934096713,0.024664354
39,28,1.942646096,0.030141859
39,29,1.901883968,0.024807303
39,30,1.858077599,0.020620272
39,31,1.841766808,0.018591904
39,32,1.812610356,0.021438142
39,33,1.949955399,0.049936872
39,34,1.796994185,0.021989476
39,35,1.768036089,0.018132345
39,36,1.776832463,0.017318211
39,37,1.7378579,0.016906153
39,38,1.719560115,0.018574267
39,39,1.709737533,0.01729802
39,40,1.656574685,0.014790481
39,41,1.636327374,0.013867178
39,42,1.630876446,0.012093114
39,43,1.60620446,0.010721189
39,44,1.583260702,0.009908038
39,45,1.57662314,0.009871241
39,46,1.573599171,0.010570584
39,47,1.549222186,0.012184253
39,48,1.536390333,0.010317933
39,49,1.523937522,0.009350861
39,50,1.544316816,0.010760884
41,0,3.041319045,0.092579657
41,1,3.119102606,0.07175453
41,2,3.008662697,0.074218938
41,3,3.141082578,0.090021169
41,4,3.238587307,0.103174001
41,5,2.742879742,0.079756095
41,6,3.16932623,0.071560599
41,7,2.909774981,0.070523795
41,8,3.124981916,0.089129872
